5.6192,0.2367,0.0619,0.0037,-0.033,-0.0001,0.0304,-0.0113,0.1025,0.062,0.0209,-0.004,-0.0531,-0.0271,0.008,-0.0021,0.0404,0.0146,0.0268,0.0105,0.0121,-0.0265,0.0112,-0.0036,0.0065,0.0322,0.01,0.0105,-0.0115,-0.0063
4.2912,1.0766,0.1305,-0.254,-0.5321,0.21,0.0008,-0.1054,-0.0747,-0.0358,0.058,-0.016,-0.0351,-0.0448,0.0129,0.0217,0.0642,0.0404,-0.0125,0.0139,-0.0194,-0.0517,0.0137,-0.013,0.0476,0.0154,0.0161,0.0109,0.0214,0.0084
8.5558,0.6801,-0.2584,0.794,-0.4931,0.4905,0.1036,0.0735,0.1557,0.2135,0.0138,0.0236,-0.0995,0.1398,-0.0265,-0.0015,0.0594,0.0122,0.0239,0.0189,0.0165,-0.0636,-0.0041,-0.015,0.0348,0.0239,0.0176,0.0068,0.0047,0.0054
19.189,1.1254,0.1994,0.011,-0.0371,0.0791,0.063,0.0011,0.1998,0.1673,0.0576,0.0234,-0.1469,-0.0719,0.0253,-0.0029,0.0863,0.0352,0.0163,0.0147,0.1101,0.0215,0.0385,0.0074,-0.0034,0.0759,0.0157,0.0161,-0.0251,0.0017
11.9087,0.8191,0.0897,0.0125,-0.0326,0.029,0.0206,-0.0104,0.126,0.1078,0.0223,0.0151,-0.0994,-0.0711,0.0194,0.0017,0.0564,0.0341,0.0145,0.0014,0.0596,0.0078,0.0238,0.0003,-0.0163,0.0409,0.0132,0.003,-0.0064,-0.0081
10.7216,-0.1272,0.1028,-0.0068,-0.775,0.604,0.0067,0.0212,0.1219,0.0989,0.0357,0.0111,-0.227,0.018,-0.0066,0.0028,0.1115,0.0137,0.0074,0.0017,0.0621,-0.0573,0.0128,-0.0017,0.0298,0.0785,0.0041,0.0077,0.0113,0.0237
5.6257,0.6398,0.0924,0.0128,-1.1689,-0.3103,-0.0086,-0.0136,-0.0081,0.0456,0.008,-0.0127,-0.2227,0.0626,-0.0348,0.0172,0.2326,-0.0239,0.0171,-0.0184,0.0692,0.0674,0.0098,0.0098,-0.0223,-0.0711,0.017,0.0089,-0.043,0.0032
4.6374,0.034,0.0858,0.0352,-2.0574,0.7541,-0.0533,-0.0292,0.7061,-0.8936,0.002,-0.0044,0.0947,0.5987,0.054,0.0306,-0.2159,-0.1353,-0.0505,-0.0318,0.05,-0.1302,0.0036,0.0045,0.0728,0.1044,0.0342,-0.0012,-0.0811,-0.0113
3.7014,-0.4222,0.032,-0.0712,-1.8556,1.4544,-0.0349,0.076,0.6509,-1.2901,0.012,-0.0603,0.1033,0.5975,0.0125,0.0194,-0.1585,-0.0044,0.006,0.014,-0.0076,-0.1689,0.0055,-0.0142,0.0768,0.0764,0.0012,0.0082,-0.033,0.0096
8.7201,1.7639,0.1004,0.0163,-0.3392,-0.0057,0.018,0.0053,0.0624,0.1027,0.0259,-0.0018,-0.0742,-0.1626,0.006,-0.0075,0.0749,0.0283,0.0074,0.004,0.0715,0.0443,0.0188,0.0006,-0.03,0.0285,0.005,0.0138,-0.024,-0.0505
11.7168,1.7115,0.1349,0.0004,-0.1774,0.0087,0.0565,-0.0019,-0.204,0.1532,0.0162,0.0284,0.1063,-0.1745,0.0376,-0.0026,-0.0459,0.0408,0.0014,0.0079,0.1608,0.0417,0.0357,0.0107,-0.0468,0.0284,0.0144,0.0108,-0.0229,-0.012
8.7201,1.7639,0.1004,0.0163,-0.3392,-0.0057,0.018,0.0053,0.0624,0.1027,0.0259,-0.0018,-0.0742,-0.1626,0.006,-0.0075,0.0749,0.0283,0.0074,0.004,0.0715,0.0443,0.0188,0.0006,-0.03,0.0285,0.005,0.0138,-0.024,-0.0505
11.7168,1.7115,0.1349,0.0004,-0.1774,0.0087,0.0565,-0.0019,-0.204,0.1532,0.0162,0.0284,0.1063,-0.1745,0.0376,-0.0026,-0.0459,0.0408,0.0014,0.0079,0.1608,0.0417,0.0357,0.0107,-0.0468,0.0284,0.0144,0.0108,-0.0229,-0.012
8.7201,1.7639,0.1004,0.0163,-0.3392,-0.0057,0.018,0.0053,0.0624,0.1027,0.0259,-0.0018,-0.0742,-0.1626,0.006,-0.0075,0.0749,0.0283,0.0074,0.004,0.0715,0.0443,0.0188,0.0006,-0.03,0.0285,0.005,0.0138,-0.024,-0.0505
11.7168,1.7115,0.1349,0.0004,-0.1774,0.0087,0.0565,-0.0019,-0.204,0.1532,0.0162,0.0284,0.1063,-0.1745,0.0376,-0.0026,-0.0459,0.0408,0.0014,0.0079,0.1608,0.0417,0.0357,0.0107,-0.0468,0.0284,0.0144,0.0108,-0.0229,-0.012
